iTunes Store: Top Movies,2020-05-10,1,Ford v Ferrari - James Mangold,https://itunes.apple.com/us/movie/ford-v-ferrari/id1484427364?uo=2,"Academy Award® Winners Matt Damon and Christian Bale star in FORD v FERRARI, based on the true story of visionary American car designer Carroll Shelby (Damon) and fearless British-born driver Ken Miles (Bale), who together build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966. Based on the true story."
iTunes Store: Top Movies,2020-05-10,2,Bloodshot - David S. F. Wilson,https://itunes.apple.com/us/movie/bloodshot/id1499927976?uo=2,"Based on the bestselling comic book, Vin Diesel stars as Ray Garrison, a soldier recently killed in action and brought back to life as the superhero Bloodshot by the RST corporation. With an army of nanotechnology in his veins, he’s an unstoppable force –stronger than ever and able to heal instantly. But in controlling his body, the company has sway over his mind and memories, too. Now, Ray doesn’t know what’s real and what’s not – but he’s on a mission to find out."
iTunes Store: Top Movies,2020-05-10,3,Sonic The Hedgehog - Jeff Fowler,https://itunes.apple.com/us/movie/sonic-the-hedgehog/id1496058930?uo=2,"The world needed a hero, we got a hedgehog. Powered with incredible speed, Sonic The Hedgehog (voiced by Ben Schwartz), aka The Blue Blur, embraces his new home on Earth. That is, until he accidentally knocks out the power grid and sparks the attention of super-uncool evil genius Dr. Robotnik (Jim Carrey). Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination. Sonic teams up with The Donut Lord, aka Sheriff Tom Wachowski (James Marsden), to save the planet in this live-action adventure comedy that’s fun for the whole family."
iTunes Store: Top Movies,2020-05-10,4,Bad Boys for Life - Adil & Bilall,https://itunes.apple.com/us/movie/bad-boys-for-life/id1494048148?uo=2,The Bad Boys Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence) are back together for one last ride in the highly anticipated Bad Boys for Life.
iTunes Store: Top Movies,2020-05-10,5,Arkansas - Clark Duke,https://itunes.apple.com/us/movie/arkansas/id1501936310?uo=2,"In Clark Duke's directorial debut, Kyle (Liam Hemsworth) and Swin (Clark Duke) live by the orders of an Arkansas-based drug kingpin named Frog (Vince Vaughn), whom they've never met. Posing as junior park rangers by day, they operate as low-level drug couriers by night under the watchful eye of Frog's proxies (John Malkovich and Vivica A. Fox). Swin then settles into his day job by taking up a relationship with Johnna (Eden Brolin) against orders to blend in, while Kyle continues to question his night job by trying to figure out who Frog really is. Their world is then upended after one too many inept decisions, and Kyle, Swin, and Johnna find themselves directly in Frog's crosshairs, who mistakenly sees them as a threat to his empire. Based on John Brandon's best-selling novel of the same name, Arkansas weaves together three decades of Deep South drug trafficking to explore the cycle of violence that turns young men into criminals, and old men into legends."
iTunes Store: Top Movies,2020-05-10,6,The Assistant (2020) - Kitty Green,https://itunes.apple.com/us/movie/the-assistant-2020/id1495088995?uo=2,"The Assistant follows one day in the life of Jane (Emmy® Award winner Julia Garner, Ozark), a recent college graduate and aspiring film producer, who has recently landed her dream job as a junior assistant to a powerful entertainment mogul. But as Jane follows her daily routine, she, and we, grow increasingly aware of the abuse that insidiously colors every aspect of her workday, an accumulation of degradations against which Jane decides to take a stand, only to discover the true depth of the system into which she has entered. Also starring Matthew Macfadyen (Succession), The Assistant is ""a powerful movie about the ways power enforces silence"" (Vanity Fair)."
iTunes Store: Top Movies,2020-05-10,7,The Gentlemen - Guy Ritchie,https://itunes.apple.com/us/movie/the-gentlemen/id1494525199?uo=2,"Mickey Pearson is an American expatriate who became rich by building a marijuana empire in London. When word gets out that he's looking to cash out of the business, it soon triggers an array of plots and schemes from those who want his fortune."
iTunes Store: Top Movies,2020-05-10,8,The Call of the Wild - Christopher Michael Sanders,https://itunes.apple.com/us/movie/the-call-of-the-wild/id1497412598?uo=2,"Adapted from Jack London’s beloved literary classic, The Call Of The Wild vividly brings to life the story of a big-hearted dog named Buck, and John Thornton (Harrison Ford), the man Buck must learn to trust. Abruptly uprooted from his pampered lifestyle in sunny California, Buck finds himself in the exotic wilds of the Alaskan Yukon. As the newest dog on a mail delivery sled team during the turbulent Gold Rush days of the 1890s, Buck has left behind a once comfortable life for one of hardship and survival. Life again changes dramatically for Buck when he meets Thornton, a loner-turned-adventurer, and it’s clear that the two are destined to experience the adventure of a lifetime. Navigating through an environment that is as unforgiving as it is spectacular, the journey profoundly transforms both man and dog. With its unique blend of intense live action and cutting-edge animation, The Call Of The Wild is a visually stunning experience featuring realistic, emotionally authentic characters."
iTunes Store: Top Movies,2020-05-10,9,Gladiator - Ridley Scott,https://itunes.apple.com/us/movie/gladiator/id397380075?uo=2,"A stunning historical epic that follows Maximus Decimus Meridius, the brave general who was forced into slavery, emerged as a gladiator, and defied an empire. Winner of five Academy Awards, including Best Picture and Best Actor, GLADIATOR is a magnificent combination of vivid action and extraordinary storytelling. Masterfully directed by Ridley Scott, and featuring a riveting performance from Russell Crowe, it is truly “a colossus of rousing action!” (Peter Travers, Rolling Stone)."
iTunes Store: Top Movies,2020-05-10,10,I Still Believe - Jon Erwin & Andrew Erwin,https://itunes.apple.com/us/movie/i-still-believe/id1501438510?uo=2,"From the creators of I Can Only Imagine comes the uplifting true-life story of music star Jeremy Camp. This inspiring tale follows Jeremy's search for his artistic voice, leading him to his wildest professional dreams, as well as the love of his life. But Jeremy's hope and faith are put to the test when tragedy strikes. I Still Believe is an incredible story of musical stardom, the heights of love, the depths of loss, and the healing power of the human spirit. Starring K.J. Apa, Britt Robertson, Shania Twain, and Gary Sinise."
